Cohort,ID,Last_Name,First_Name,Gender,Category,Cohort_num,Status,Last_Degree,Last_GPA_Before_MSBA,Background,School,Higher_Education,Decision,Date_of_Birth,Age_when_Joined_Program,First_Nationality,GPA_Graduate,GPA,Letter_Grading,MSBA__Data_Thesis_2f_Capstone,EDU_grouped
Cohort 4,134,,,F,PT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,24,Lebanon,4.24,4.24,A+,,AUB/LAU
Cohort 4,135,,,F,FT,4,Active,Civil & Environmenal Engineering,,Engineering,American University of Beirut (AUB),,Accepted Unconditionally,,21,Lebanon,3.9,3.9,A-,,AUB/LAU
Cohort 4,136,,,F,PT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Unconditionally,,24,Syria,4.06,4.06,A,,AUB/LAU
Cohort 4,137,,,F,FT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,20,Lebanon,4.06,4.06,A,,AUB/LAU
Cohort 4,138,,,F,PT,4,Active,Medical Lab | Master Genomics and Proteomics,,"Other (Food science, Nursing, Graphic Design..)",Universite Saint-Joseph (USJ),,Accepted-special not working for a degree,,24,Lebanon,3.82,3.82,A,,Other
Cohort 4,139,,,F,PT,4,Alumni,ECE,,Engineering,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,,22,Lebanon,3.88,3.88,A,,AUB/LAU
Cohort 4,140,,,M,PT,4,Dropped,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese University (LU),,Accepted Unconditionally,,31,Lebanon,3.92,3.92,A,,Other
Cohort 4,141,,,F,FT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,20,Lebanon,3.9,3.9,A,,AUB/LAU
Cohort 4,142,,,F,FT,4,Active,Economics,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,22,Lebanon,3.67,3.67,B-,,AUB/LAU
Cohort 4,143,,,F,PT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Unconditionally,,20,Lebanon,4.11,4.11,A,,AUB/LAU
Cohort 5,144,,,M,PT,5,Active,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Sunday, January 1, 1961",60,Lebanon,3.88,3.88,A,,AUB/LAU
Cohort 5,145,,,M,FT,5,Alumni,Electrical Engineering,,Engineering,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Sunday, May 8, 1983",38,Lebanon,3.81,3.81,A,,AUB/LAU
Cohort 5,146,,,F,PT,5,Active,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Saturday, May 30, 1987",34,Lebanon,3.75,3.75,A-,,AUB/LAU
Cohort 5,147,,,M,PT,5,Dropped,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,,"Friday, July 5, 1991",30,Lebanon,3.85,3.85,A,,AUB/LAU
Cohort 5,148,,,F,FT,5,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Monday, December 2, 1991",29,Lebanon,85.55,3.42,A-,,AUB/LAU
Cohort 5,149,,,F,PT,5,Active,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, September 10, 1993",27,Lebanon,4,4,A,,AUB/LAU
Cohort 5,150,,,M,PT,5,Active,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Wednesday, April 12, 1995",26,Lebanon,3.46,3.46,A-,,AUB/LAU
Cohort 5,151,,,M,PT,5,Active,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Thursday, June 1, 1995",26,Lebanon,3.82,3.82,A,,AUB/LAU
Cohort 5,152,,,M,FT,5,Active,Industrial Engineering,,Engineering,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Thursday, October 26, 1995",25,Lebanon,3.74,3.74,A-,,AUB/LAU
Cohort 5,153,,,F,FT,5,Alumni,Clinical Nutrition & Dietetics | Clinical Nutrition & Dietetics,,"Other (Food science, Nursing, Graphic Design..)",American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Saturday, July 29, 1995",26,Lebanon,3.75,3.75,A-,,AUB/LAU
Cohort 5,154,,,F,PT,5,Active,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Saturday, July 29, 1995",24,Lebanon,3.85,3.85,A,,AUB/LAU
Cohort 5,156,,,F,PT,5,Active,Food Science,,"Other (Food science, Nursing, Graphic Design..)",American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Saturday, November 23, 1996",24,Venezuela,3.86,3.86,A,,AUB/LAU
Cohort 5,157,,,M,PT,5,Dropped,Bachelor of Arts,,"Other (Food science, Nursing, Graphic Design..)",American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Thursday, June 5, 1997",24,United Arab Emirates,3.3,3.3,B+,,AUB/LAU
Cohort 5,158,,,M,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Tuesday, August 19, 1997",24,Lebanon,3.95,3.95,A,,AUB/LAU
Cohort 5,159,,,M,FT,5,Active,Political Science & Public Administration,,"Other (Food science, Nursing, Graphic Design..)",American University of Beirut (AUB),,,"Monday, October 6, 1997",22,Kuwait,2.8,2.8,B,,AUB/LAU
Cohort 5,160,,,M,FT,5,Active,Mechanical Engineering,,Engineering,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, July 3, 1998",23,Lebanon,3.91,3.91,A,,AUB/LAU
Cohort 5,161,,,M,FT,5,Alumni,Pure Mathematics,,Math/science,American University of Beirut (AUB),,Accepted Unconditionally,"Monday, October 6, 1997",23,Lebanon,4.2,4.2,A,,AUB/LAU
Cohort 5,162,,,M,FT,5,Alumni,Computer Science and Political Sciences,,MIS/Computer Science/IT,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Monday, July 5, 1999",22,Lebanon,3.43,3.43,A-,,AUB/LAU
Cohort 5,163,,,F,FT,5,Alumni,Nursing,,"Other (Food science, Nursing, Graphic Design..)",American University of Beirut (AUB),,Accepted Unconditionally,"Monday, January 5, 1998",23,Lebanon,3.88,3.88,A,,AUB/LAU
Cohort 5,164,,,M,FT,5,Active,Food Science,,"Other (Food science, Nursing, Graphic Design..)",American University of Beirut (AUB),,Accepted Unconditionally,"Wednesday, January 28, 1998",23,Lebanon,3.78,3.78,A-,,AUB/LAU
Cohort 5,165,,,F,PT,5,Active,Bachelor of Science,,Math/science,American University of Beirut (AUB),,Accepted Unconditionally,"Saturday, February 28, 1998",23,Syria,3.6,3.6,B+,,AUB/LAU
Cohort 5,166,,,F,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Monday, July 12, 1999",22,Lebanon,4.07,4.07,A,,AUB/LAU
Cohort 5,167,,,M,FT,5,Alumni,Economics,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,,,21,Lebanon,3.58,3.58,B+,,AUB/LAU
Cohort 5,168,,,M,PT,5,Active,Economics,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Friday, November 19, 1999",21,Lebanon,3.56,3.56,B+,,AUB/LAU
Cohort 5,169,,,M,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Sunday, January 17, 1999",22,Lebanon,3.88,3.88,A,,AUB/LAU
Cohort 5,170,,,M,FT,5,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Sunday, July 11, 1999",22,Lebanon,3.8,3.8,A,,AUB/LAU
Cohort 5,171,,,M,FT,5,Alumni,Chemistry,,Math/science,American University of Beirut (AUB),,Accepted Unconditionally,"Tuesday, August 10, 1999",22,Lebanon,3.95,3.95,A,,AUB/LAU
Cohort 5,172,,,F,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Monday, October 18, 1999",21,Lebanon,3.56,3.56,B+,,AUB/LAU
Cohort 5,173,,,F,FT,5,Alumni,Biology,,Math/science,American University of Beirut (AUB),,Accepted Unconditionally,"Saturday, May 6, 2000",21,United Arab Emirates,3.95,3.95,A,,AUB/LAU
Cohort 5,174,,,F,PT,5,Active,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Saturday, August 19, 2000",21,Lebanon,4.06,4.06,A+,,AUB/LAU
Cohort 5,176,,,F,FT,5,Alumni,Business Information System,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Wednesday, February 2, 2000",21,Lebanon,4.06,4.06,A+,,AUB/LAU
Cohort 5,177,,,F,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, April 7, 2000",21,Lebanon,3.91,3.91,A,,AUB/LAU
Cohort 5,178,,,M,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Saturday, July 29, 2000",21,Lebanon,3.88,3.88,A,,AUB/LAU
Cohort 5,179,,,F,FT,5,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Wednesday, November 29, 2000",20,Lebanon,3.41,3.41,A-,,AUB/LAU
Cohort 5,180,,,F,PT,5,Active,Economics,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Wednesday, November 15, 2000",20,Lebanon,3.98,3.98,A,,AUB/LAU
Cohort 5,181,,,M,FT,5,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,"Arts, Sciences and Technology University in Lebanon (AUL)",,Accepted Conditionally-GPA probation,,24,Lebanon,4,4,A,,Other
Cohort 5,182,,,F,FT,5,Active,Business Analytics,,Business/Economics/Accounting/Finance,Lebanese University (LU),,Accepted Unconditionally,"Monday, March 27, 1995",26,Lebanon,3.46,3.46,A-,,Other
Cohort 5,183,,,F,PT,5,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Beirut Arab University (BAU),,Accepted Unconditionally,"Monday, February 12, 1996",25,Lebanon,3.54,3.54,A-,,Other
Cohort 5,184,,,F,PT,5,Active,Physics,,Math/science,Notre Dame University Louaize (NDU),,Accepted Unconditionally,"Saturday, January 27, 2001",20,Lebanon,4.07,4.07,A,,Other
Cohort 5,185,,,M,FT,5,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Sharjah,,Accepted Unconditionally,"Wednesday, April 8, 1998",23,Saudi Arabia,3.7,3.7,A-,,Other
Cohort 5,186,,,F,FT,5,Dropped,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Beirut Arab University (BAU),,Accepted Conditionally-GPA probation,"Wednesday, February 28, 2001",20,Lebanon,2.86,2.86,B,,Other
Cohort 5,187,,,M,FT,5,Alumni,Management Information System,,MIS/Computer Science/IT,Lebanese University (LU),,Accepted Unconditionally,"Sunday, January 5, 1997",24,Lebanon,3.33,3.33,B+,,Other
Cohort 5,189,,,M,PT,5,Active,Mathematics and Statistics,,Math/science,Lebanese University (LU),,Accepted Unconditionally,"Friday, July 7, 2000",21,Lebanon,3.8,3.8,A,,Other
Cohort 5,190,,,F,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Conditionally-GPA probation,"Wednesday, March 16, 1994",27,Lebanon,3.75,3.75,A-,,AUB/LAU
Cohort 5,191,,,M,FT,5,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Beirut Arab University (BAU),,Accepted Unconditionally,"Sunday, June 14, 1998",23,Lebanon,3.56,3.56,A-,,Other
Cohort 5,192,,,F,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Unconditionally,"Sunday, December 5, 1999",21,Lebanon,3.64,3.64,A-,,AUB/LAU
Cohort 5,193,,,M,PT,5,Active,Bachelor in Engineering,,Engineering,Lebanese American University (LAU),,Accepted Conditionally-GPA probation,"Thursday, April 25, 1996",25,Lebanon,4.05,4.05,A,,AUB/LAU
Cohort 5,194,,,F,PT,5,Active,BBA,,"Other (Food science, Nursing, Graphic Design..)",Universite Saint-Joseph (USJ),,Accepted Unconditionally,"Friday, August 9, 1996",25,Lebanon,4.15,4.15,A+,,Other
Cohort 5,195,,,F,FT,5,Dropped,Insurance,,"Other (Food science, Nursing, Graphic Design..)",Universite Saint-Joseph (USJ),,Accepted Conditionally-GPA probation,"Thursday, July 11, 1985",36,Lebanon,2.57,2.57,B-,,Other
Cohort 5,196,,,M,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,"Florida Int'l University, Miami",,Accepted Unconditionally,"Thursday, August 13, 1998",23,United States of America,3.52,3.52,A-,,Other
Cohort 5,197,,,M,PT,5,Dropped,BBA,,Business/Economics/Accounting/Finance,Universite Saint-Joseph (USJ),,Accepted Conditionally-GPA probation,"Wednesday, July 7, 1999",22,Lebanon,2.7,2.7,B-,,Other
Cohort 5,198,,,F,PT,5,Active,International Business,,Business/Economics/Accounting/Finance,"Uni. of Wisconsin, Eau Claire \ Ec.Nat.de Com.et de Gest. ENCG",,Accepted Unconditionally,"Monday, June 8, 1992",29,Morocco,3.9,3.9,A,,Other
Cohort 5,199,,,F,FT,5,Active,Economics,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Unconditionally,"Tuesday, June 27, 2000",21,Lebanon,3.36,3.36,B+,,AUB/LAU
Cohort 5,200,,,M,PT,5,Active,Bachelor in Computer Systems,,MIS/Computer Science/IT,Inst.Sup.des Et.Tech.en Comm.,,Accepted Unconditionally,"Thursday, February 12, 1998",23,Tunisia,3.83,3.83,A,,Other
Cohort 5,201,,,F,PT,5,Active,Bachelor of Arts,,"Other (Food science, Nursing, Graphic Design..)",Lebanese University (LU),,Accepted Unconditionally,"Wednesday, November 17, 1993",27,Lebanon,4,4,A,,Other
Cohort 5,202,,,M,PT,5,Active,BBA,,Business/Economics/Accounting/Finance,Universite Saint-Esprit de Kaslik (USEK),,Accepted Conditionally-GPA probation,"Friday, March 20, 1998",23,Lebanon,3.68,3.68,A-,,Other
Cohort 5,203,,,F,FT,5,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Universite Saint-Esprit de Kaslik (USEK),,Accepted Unconditionally,"Thursday, September 9, 1999",21,Lebanon,3.41,3.41,A-,,Other
Cohort 5,204,,,F,PT,5,Active,Civil & Environmenal Engineering,,Engineering,Lebanese American University (LAU),,Accepted Conditionally-GPA probation,"Sunday, December 7, 1997",23,Lebanon,4.18,4.18,A+,,AUB/LAU
Cohort 5,205,,,M,FT,5,Active,Civil & Environmenal Engineering,,Engineering,Notre Dame University Louaize (NDU),,Accepted Conditionally-GPA probation,"Thursday, October 10, 1996",24,Lebanon,3.9,3.9,A,,Other
Cohort 5,206,,,M,FT,5,Active,Civil & Environmenal Engineering,,Engineering,Beirut Arab University (BAU),,Accepted Conditionally-GPA probation,"Wednesday, January 1, 1992",29,Lebanon,3.76,3.76,A-,,Other
Cohort 5,207,,,F,PT,5,Active,BBA,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Unconditionally,"Tuesday, August 6, 1996",25,Lebanon,4.06,4.06,A,,AUB/LAU
Cohort 5,208,,,F,PT,5,Dropped,Arabic,,"Other (Food science, Nursing, Graphic Design..)",Lebanese University (LU),,Accepted-special not working for a degree,"Thursday, October 21, 1999",21,Lebanon,2.35,2.35,C+,,Other
Cohort 5,209,,,M,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Unconditionally,"Thursday, December 2, 1999",21,Lebanon,3.44,3.44,B+,,AUB/LAU
Cohort 5,210,,,M,FT,5,,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Grenoble Graduate School of Business,,Accepted Conditionally-GPA probation,"Monday, June 13, 1994",27,Lebanon,3.44,3.44,B+,,Other
Cohort 5,211,,,M,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Notre Dame University Louaize (NDU),,Accepted Unconditionally,"Saturday, October 23, 1999",21,Lebanon,4.06,4.06,A,,Other
Cohort 5,212,,,M,PT,5,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Haigazian University,,Accepted Unconditionally,"Friday, July 8, 1994",27,Lebanon,3.52,3.52,A-,,Other
Cohort 5,214,,,F,FT,5,Alumni,Civil & Environmenal Engineering,,Engineering,Rafic Hariri University (RHU),,Accepted Unconditionally,"Monday, April 28, 1997",24,Lebanon,3.73,3.73,A-,,Other
Cohort 5,215,,,M,FT,5,Alumni,Civil & Environmenal Engineering,,Engineering,Beirut Arab University (BAU),,Accepted Unconditionally,"Friday, January 2, 1998",23,Lebanon,4.03,4.03,A,,Other
Cohort 5,216,,,F,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Notre Dame University Louaize (NDU),,Accepted Unconditionally,"Tuesday, September 5, 2000",20,Lebanon,3.8,3.8,A,,Other
Cohort 5,217,,,M,PT,5,Active,Financial Engineering,,Business/Economics/Accounting/Finance,Notre Dame University Louaize (NDU),,Accepted Unconditionally,"Wednesday, November 10, 1999",21,Lebanon,4,4,A,,Other
Cohort 5,219,,,F,PT,5,Active,BBA,,Business/Economics/Accounting/Finance,Notre Dame University Louaize (NDU),,Accepted Conditionally-GPA probation,"Saturday, February 26, 1994",27,Lebanon,3.85,3.85,A,,Other
Cohort 5,220,,,F,PT,5,Active,BS Biochemistry,,Math/science,Universite Saint-Joseph (USJ),,Accepted Unconditionally,"Monday, July 17, 1995",26,Lebanon,3.83,3.83,A,,Other
Cohort 5,221,,,M,PT,5,Active,Mathematics,,Math/science,Lebanese American University (LAU),,Accepted Unconditionally,"Wednesday, July 21, 1999",22,Lebanon,4.15,4.15,A+,,AUB/LAU
Cohort 5,222,,,M,FT,5,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Unconditionally,"Friday, March 26, 1999",22,Lebanon,3.67,3.67,A-,,Other
